Representation,Method,Chi-square p,Cluster,Cluster Size (ACRs),Shannon Diversity Index,Top Function 1,Top 1 (%),Top Function 2,Top 2 (%),Top Function 3,Top 3 (%)
binary_2gram_tfidf,Hierarchical,<0.001,0,9594,1.656,Multifunctional DOF Regulation,45.55,Chromatin & Development,43.23,Vascular Development,5.33
binary_2gram_tfidf,Hierarchical,<0.001,1,1327,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
binary_2gram_tfidf,Hierarchical,<0.001,2,1551,0.927,Chromatin & Development,67.38,Multifunctional DOF Regulation,32.44,Vascular Development,0.18
binary_2gram_tfidf,Hierarchical,<0.001,3,1044,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
binary_2gram_tfidf,Hierarchical,<0.001,4,17779,1.649,Multifunctional DOF Regulation,63.78,Chromatin & Development,23.96,Inflorescence Development,2.75
binary_3gram_tfidf,KMeans,<0.001,0,28794,1.664,Multifunctional DOF Regulation,51.32,Chromatin & Development,37.4,Vascular Development,4.84
binary_3gram_tfidf,KMeans,<0.001,1,629,1.178,Chromatin & Development,55.24,Multifunctional DOF Regulation,42.33,Vascular Development,1.09
binary_3gram_tfidf,KMeans,<0.001,2,706,0.725,Multifunctional DOF Regulation,85.68,Chromatin & Development,11.9,Vascular Development,1.4
binary_3gram_tfidf,KMeans,<0.001,3,507,1.232,Chromatin & Development,52.41,Multifunctional DOF Regulation,44.38,Vascular Development,1.55
binary_3gram_tfidf,KMeans,<0.001,4,659,1.229,Chromatin & Development,54.45,Multifunctional DOF Regulation,42.28,Vascular Development,1.61
binary_3gram_tfidf,Hierarchical,<0.001,0,752,1.026,Chromatin & Development,53.4,Multifunctional DOF Regulation,46.29,Vascular Development,0.25
binary_3gram_tfidf,Hierarchical,<0.001,1,437,0.12,Multifunctional DOF Regulation,98.51,Chromatin & Development,1.31,Vascular Development,0.18
binary_3gram_tfidf,Hierarchical,<0.001,2,29699,1.628,Multifunctional DOF Regulation,49.55,Chromatin & Development,40.1,Vascular Development,4.49
binary_3gram_tfidf,Hierarchical,<0.001,3,240,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
binary_3gram_tfidf,Hierarchical,<0.001,4,167,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
binary_combined_tfidf,KMeans,<0.001,0,3896,1.022,Chromatin & Development,68.86,Multifunctional DOF Regulation,29.42,Vascular Development,0.79
binary_combined_tfidf,KMeans,<0.001,1,20757,1.869,Multifunctional DOF Regulation,44.23,Chromatin & Development,40.03,Vascular Development,6.66
binary_combined_tfidf,KMeans,<0.001,2,3205,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
binary_combined_tfidf,KMeans,<0.001,3,844,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
binary_combined_tfidf,KMeans,<0.001,4,2593,0.576,Multifunctional DOF Regulation,89.26,Chromatin & Development,9.04,Vascular Development,1.4
binary_combined_tfidf,Hierarchical,<0.001,0,2657,0.0,Multifunctional DOF Regulation,100.0,Chromatin & Development,0.0,Inflorescence Development,0.0
binary_combined_tfidf,Hierarchical,<0.001,1,1217,0.0,Chromatin & Development,100.0,Inflorescence Development,0.0,Circadian & Flowering,0.0
